0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ID,送礼UID,送礼人,家族ID,收礼UID,收礼人,家族ID,礼物ID,礼物名,礼物数量,金币,星光值,送礼时间,场景,对应ID
1456290557,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10977524092638559,glaizamarierueda,1692840,168,钻石Diamond,1,198,198,"2022-06-15 07:17:57",KTV,1014945
1456285269,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10133099166197834,🐻CAPT💞_💞dHadHa🐻,1692840,2048,"幸运礼盒Lucky Box",3,30,9,"2022-06-15 07:12:53",KTV,1014945
1456285163,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10133099166197834,🐻CAPT💞_💞dHadHa🐻,1692840,2047,"幸运金币Lucky Coin",4,20,12,"2022-06-15 07:12:47",KTV,1014945
1456281913,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10133099166197834,🐻CAPT💞_💞dHadHa🐻,1692840,168,钻石Diamond,1,198,198,"2022-06-15 07:09:34",KTV,1014945
1456280615,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,3659174702362117,🦋🇲​🇦​🇱​🇩​🇮​🇹​🇦​_28🦋,1692840,168,钻石Diamond,1,198,198,"2022-06-15 07:08:12",KTV,1014945
1456080460,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,4609143388241920,🔥🔥🎥🎥♏️☪️🌸Ꭰj𝑷𝒐𝒍𝒛🌸🇯🇵,1518091,2073,"开心小人Happy Boy",1,18,18,"2022-06-15 03:33:22",直播,303092749
1456080270,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,4609143388241920,🔥🔥🎥🎥♏️☪️🌸Ꭰj𝑷𝒐𝒍𝒛🌸🇯🇵,1518091,1791,"圣诞袜Christmas Stocking",1,48,48,"2022-06-15 03:33:07",直播,303092749
1456075086,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,4609143388241920,🔥🔥🎥🎥♏️☪️🌸Ꭰj𝑷𝒐𝒍𝒛🌸🇯🇵,1518091,2073,"开心小人Happy Boy",1,18,18,"2022-06-15 03:27:34",直播,303092749
1456072436,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,4609143388241920,🔥🔥🎥🎥♏️☪️🌸Ꭰj𝑷𝒐𝒍𝒛🌸🇯🇵,1518091,2085,"摩天轮Ferris Wheel",1,300,300,"2022-06-15 03:24:48",直播,303092749
1456072221,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,4609143388241920,🔥🔥🎥🎥♏️☪️🌸Ꭰj𝑷𝒐𝒍𝒛🌸🇯🇵,1518091,2085,"摩天轮Ferris Wheel",1,300,300,"2022-06-15 03:24:33",直播,303092749
1455411017,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,0,,,64,弹幕(VIP),1,3,3,"2022-06-14 14:08:33",KTV,1345397
1455405061,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,1949,Clown小丑,3,54,54,"2022-06-14 14:04:47",KTV,1345397
1455404178,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,1949,Clown小丑,5,90,90,"2022-06-14 14:04:09",KTV,1345397
1455404065,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,1949,Clown小丑,8,144,144,"2022-06-14 14:04:05",KTV,1345397
1455403882,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,1949,Clown小丑,17,306,306,"2022-06-14 14:03:57",KTV,1345397
1455398062,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,281474981507693,🄾🄽🅂✪ᶜᵒᶜᵃᵖᵗ🛡️ALJOON🛡️,1262159,1949,Clown小丑,28,504,504,"2022-06-14 13:59:43",KTV,1345397
1455397647,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,281474981507693,🄾🄽🅂✪ᶜᵒᶜᵃᵖᵗ🛡️ALJOON🛡️,1262159,2048,"幸运礼盒Lucky Box",4,40,12,"2022-06-14 13:59:26",KTV,1345397
1455397414,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,281474981507693,🄾🄽🅂✪ᶜᵒᶜᵃᵖᵗ🛡️ALJOON🛡️,1262159,168,钻石Diamond,1,198,198,"2022-06-14 13:59:16",KTV,1345397
1455395583,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,168,钻石Diamond,1,198,198,"2022-06-14 13:58:01",KTV,1345397
1455394417,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,565,"钻石之吻Crystal kiss",1,69,69,"2022-06-14 13:57:06",KTV,1345397
1455226722,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,0,,,64,弹幕(VIP),1,3,3,"2022-06-14 11:55:55",KTV,781658
1455161527,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,97,花环Wreath,1,99,99,"2022-06-14 11:07:15",KTV,781658
1455159934,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,10414574144387128,🔱⚜ʷᵗ👛CoCapt💄FEBELYN,1262159,565,"钻石之吻Crystal kiss",1,69,69,"2022-06-14 11:05:45",KTV,781658
1455159200,7036874422820548,🇯🇵KAILA.tadhana🇵🇭,1692840,0,,,64,弹幕(VIP),1,3,3,"2022-06-14 11:04:59",KTV,781658
